Iteration,Cost,Effectiveness,t_bradyc,t_discountedlifeyear,t_dl_se,t_hyperk,t_hypot,t_lifeyear,t_numberofdeath,t_numberofhfh,t_reimp,t_se,t_walk,profile
281,32.63,0.596095925,0,0.908017275,0,0,0,0.920547945,1,0,0,0,1,base
372,32.63,0.596095925,0,0.908017275,0,0,0,0.920547945,1,0,0,0,1,base
560,14037.54556,0.594084619,0,0.908017275,0,0,0,0.920547945,1,1,0,0,1,base
605,32.63,0.596095925,0,0.908017275,0,0,0,0.920547945,1,0,0,0,1,base
721,32.63,0.596095925,0,0.908017275,0,0,0,0.920547945,1,0,0,0,1,base
547,32.63,0.608558673,0,0.926669667,0,0,0,0.939726027,1,0,0,0,1,base
479,32.63,0.621017865,0,0.945311335,0,0,0,0.95890411,1,0,0,0,1,base
869,14198.30752,0.618983471,0,0.945311335,0,0,0,0.95890411,1,1,0,0,1,base
14,32.63,0.633473502,0,0.963942283,0,0,0,0.978082192,1,0,0,0,1,base
27,32.63,0.633473502,0,0.963942283,0,0,0,0.978082192,1,0,0,0,1,base
169,32.63,0.633473502,0,0.963942283,0,0,0,0.978082192,1,0,0,0,1,base
279,32.63,0.633473502,0,0.963942283,0,0,0,0.978082192,1,0,0,0,1,base
393,32.63,0.633473502,0,0.963942283,0,0,0,0.978082192,1,0,0,0,1,base
1046,32.63,0.633473502,0,0.963942283,0,0,0,0.978082192,1,0,0,0,1,base
133,32.63,0.645925586,0,0.982562516,0,0,0,0.997260274,1,0,0,0,1,base
311,32.63,0.645925586,0,0.982562516,0,0,0,0.997260274,1,0,0,0,1,base
474,32.63,0.645925586,0,0.982562516,0,0,0,0.997260274,1,0,0,0,1,base
506,32.63,0.645925586,0,0.982562516,0,0,0,0.997260274,1,0,0,0,1,base
665,32.63,0.645925586,0,0.982562516,0,0,0,0.997260274,1,0,0,0,1,base
846,32.63,0.645925586,0,0.982562516,0,0,0,0.997260274,1,0,0,0,1,base
257,14017.57902,0.656365678,0,1.001172039,0,0,0,1.016438356,1,1,0,0,1,base
678,32.63,0.658374117,0,1.001172039,0,0,0,1.016438356,1,0,0,0,1,base
704,32.63,0.658374117,0,1.001172039,0,0,0,1.016438356,1,0,0,0,1,base
708,32.63,0.658374117,0,1.001172039,0,0,0,1.016438356,1,0,0,0,1,base
841,32.63,0.658374117,0,1.001172039,0,0,0,1.016438356,1,0,0,0,1,base
995,32.63,0.658374117,0,1.001172039,0,0,0,1.016438356,1,0,0,0,1,base
1100,32.63,0.658374117,0,1.001172039,0,0,0,1.016438356,1,0,0,0,1,base
28,28018.50468,0.666799924,0,1.019770855,0,0,0,1.035616438,1,2,0,0,1,base
86,32.63,0.670819097,0,1.019770855,0,0,0,1.035616438,1,0,0,0,1,base
136,32.63,0.670819097,0,1.019770855,0,0,0,1.035616438,1,0,0,0,1,base
391,32.63,0.670819097,0,1.019770855,0,0,0,1.035616438,1,0,0,0,1,base
822,32.63,0.670819097,0,1.019770855,0,0,0,1.035616438,1,0,0,0,1,base
973,32.63,0.670819097,0,1.019770855,0,0,0,1.035616438,1,0,0,0,1,base
1222,14190.22577,0.668785863,0,1.019770855,0,0,0,1.035616438,1,1,0,0,1,base
148,32.63,0.683260526,0,1.03835897,0,0,0,1.054794521,1,0,0,0,1,base
395,14166.00817,0.68123077,0,1.03835897,0,0,0,1.054794521,1,1,0,0,1,base
286,14005.61276,0.693691685,0,1.056936389,0,0,0,1.073972603,1,1,0,0,1,base
360,14025.56221,0.69368882,0,1.056936389,0,0,0,1.073972603,1,1,0,0,1,base
801,32.63,0.695698405,0,1.056936389,0,0,0,1.073972603,1,0,0,0,1,base
1186,32.63,0.708132736,0,1.075503115,0,0,0,1.093150685,1,0,0,0,1,base
5,32.63,0.72056352,0,1.094059154,0,0,0,1.112328767,1,0,0,0,1,base
137,32.63,0.72056352,0,1.094059154,0,0,0,1.112328767,1,0,0,0,1,base
522,32.63,0.72056352,0,1.094059154,0,0,0,1.112328767,1,0,0,0,1,base
1112,32.63,0.72056352,0,1.094059154,0,0,0,1.112328767,1,0,0,0,1,base
361,32.63,0.732990757,0,1.11260451,0,0,0,1.131506849,1,0,0,0,1,base
647,32.63,0.732990757,0,1.11260451,0,0,0,1.131506849,1,0,0,0,1,base
1068,32.63,0.732990757,0,1.11260451,0,0,0,1.131506849,1,0,0,0,1,base
1262,32.63,0.732990757,0,1.11260451,0,0,0,1.131506849,1,0,0,0,1,base
109,32.63,0.745414449,0,1.131139188,0,0,0,1.150684932,1,0,0,0,1,base
113,32.63,0.745414449,0,1.131139188,0,0,0,1.150684932,1,0,0,0,1,base
259,32.63,0.745414449,0,1.131139188,0,0,0,1.150684932,1,0,0,0,1,base
951,32.63,0.745414449,0,1.131139188,0,0,0,1.150684932,1,0,0,0,1,base
981,14061.54303,0.743399696,0,1.131139188,0,0,0,1.150684932,1,1,0,0,1,base
1103,32.63,0.745414449,0,1.131139188,0,0,0,1.150684932,1,0,0,0,1,base
1133,32.63,0.745414449,0,1.131139188,0,0,0,1.150684932,1,0,0,0,1,base
204,32.63,0.757834596,0,1.149663192,0,0,0,1.169863014,1,0,0,0,1,base
741,32.63,0.757834596,0,1.149663192,0,0,0,1.169863014,1,0,0,0,1,base
1266,32.63,0.757834596,0,1.149663192,0,0,0,1.169863014,1,0,0,0,1,base
504,32.63,0.7702512,0,1.168176526,0,0,0,1.189041096,1,0,0,0,1,base
563,32.63,0.7702512,0,1.168176526,0,0,0,1.189041096,1,0,0,0,1,base
451,32.63,0.782664261,0,1.186679196,0,0,0,1.208219178,1,0,0,0,1,base
602,32.63,0.795073781,0,1.205171206,0,0,0,1.22739726,1,0,0,0,1,base
755,28070.8822,0.791047086,0,1.205171206,0,0,0,1.22739726,1,2,0,0,1,base
246,32.63,0.80747976,0,1.223652561,0,0,0,1.246575342,1,0,0,0,1,base
347,32.63,0.80747976,0,1.223652561,0,0,0,1.246575342,1,0,0,0,1,base
487,32.63,0.80747976,0,1.223652561,0,0,0,1.246575342,1,0,0,0,1,base
703,14041.54228,0.80546788,0,1.223652561,0,0,0,1.246575342,1,1,0,0,1,base
770,14202.35013,0.805444785,0,1.223652561,0,0,0,1.246575342,1,1,0,0,1,base
1110,32.63,0.80747976,0,1.223652561,0,0,0,1.246575342,1,0,0,0,1,base
1116,32.63,0.80747976,0,1.223652561,0,0,0,1.246575342,1,0,0,0,1,base
730,32.63,0.8198822,0,1.242123264,0,0,0,1.265753425,1,0,0,0,1,base
152,13961.82402,0.83028067,0,1.260583322,0,0,0,1.284931507,1,1,0,0,1,base
227,32.63,0.832281102,0,1.260583322,0,0,0,1.284931507,1,0,0,0,1,base
618,32.63,0.832281102,0,1.260583322,0,0,0,1.284931507,1,0,0,0,1,base
674,32.63,0.832281102,0,1.260583322,0,0,0,1.284931507,1,0,0,0,1,base
1013,32.63,0.832281102,0,1.260583322,0,0,0,1.284931507,1,0,0,0,1,base
761,32.63,0.844676466,0,1.279032737,0,0,0,1.304109589,1,0,0,0,1,base
1187,32.63,0.844676466,0,1.279032737,0,0,0,1.304109589,1,0,0,0,1,base
1260,13973.75278,0.842674321,0,1.279032737,0,0,0,1.304109589,1,1,0,0,1,base
222,32.63,0.857068294,0,1.297471516,0,0,0,1.323287671,1,0,0,0,1,base
784,32.63,0.857068294,0,1.297471516,0,0,0,1.323287671,1,0,0,0,1,base
863,32.63,0.857068294,0,1.297471516,0,0,0,1.323287671,1,0,0,0,1,base
211,32.63,0.869456586,0,1.315899662,0,0,0,1.342465753,1,0,0,0,1,base
524,32.63,0.869456586,0,1.315899662,0,0,0,1.342465753,1,0,0,0,1,base
879,32.63,0.869456586,0,1.315899662,0,0,0,1.342465753,1,0,0,0,1,base
1029,32.63,0.869456586,0,1.315899662,0,0,0,1.342465753,1,0,0,0,1,base
318,32.63,0.881841344,0,1.33431718,0,0,0,1.361643836,1,0,0,0,1,base
990,32.63,0.881841344,0,1.33431718,0,0,0,1.361643836,1,0,0,0,1,base
1167,32.63,0.881841344,0,1.33431718,0,0,0,1.361643836,1,0,0,0,1,base
521,32.63,0.894222569,0,1.352724074,0,0,0,1.380821918,1,0,0,0,1,base
985,32.63,0.894222569,0,1.352724074,0,0,0,1.380821918,1,0,0,0,1,base
316,32.63,0.906600261,0,1.37112035,0,0,0,1.4,1,0,0,0,1,base
422,32.63,0.906600261,0,1.37112035,0,0,0,1.4,1,0,0,0,1,base
437,32.63,0.906600261,0,1.37112035,0,0,0,1.4,1,0,0,0,1,base
480,32.63,0.906600261,0,1.37112035,0,0,0,1.4,1,0,0,0,1,base
860,32.63,0.906600261,0,1.37112035,0,0,0,1.4,1,0,0,0,1,base
1181,28106.80294,0.902568408,0,1.37112035,0,0,0,1.4,1,2,0,0,1,base
142,32.63,0.918974422,0,1.389506011,0,0,0,1.419178082,1,0,0,0,1,base
205,32.63,0.918974422,0,1.389506011,0,0,0,1.419178082,1,0,0,0,1,base
426,32.63,0.918974422,0,1.389506011,0,0,0,1.419178082,1,0,0,0,1,base
966,32.63,0.918974422,0,1.389506011,0,0,0,1.419178082,1,0,0,0,1,base
221,27934.97943,0.927337876,0,1.407881062,0,0,0,1.438356164,1,2,0,0,1,base
753,32.63,0.931345053,0,1.407881062,0,0,0,1.438356164,1,0,0,0,1,base
1154,32.63,0.931345053,0,1.407881062,0,0,0,1.438356164,1,0,0,0,1,base
41,27847.34614,0.939717563,0,1.426245509,0,0,0,1.457534247,1,2,0,0,1,base
1225,32.63,0.943712154,0,1.426245509,0,0,0,1.457534247,1,0,0,0,1,base
105,32.63,0.956075727,0,1.444599354,0,0,0,1.476712329,1,0,0,0,1,base
160,32.63,0.956075727,0,1.444599354,0,0,0,1.476712329,1,0,0,0,1,base
339,32.63,0.956075727,0,1.444599354,0,0,0,1.476712329,1,0,0,0,1,base
1150,32.63,0.956075727,0,1.444599354,0,0,0,1.476712329,1,0,0,0,1,base
271,13969.77539,0.966434199,0,1.462942604,0,0,0,1.495890411,1,1,0,0,1,base
481,32.63,0.968435773,0,1.462942604,0,0,0,1.495890411,1,0,0,0,1,base
729,32.63,0.968435773,0,1.462942604,0,0,0,1.495890411,1,0,0,0,1,base
977,32.63,0.968435773,0,1.462942604,0,0,0,1.495890411,1,0,0,0,1,base
1147,32.63,0.968435773,0,1.462942604,0,0,0,1.495890411,1,0,0,0,1,base
303,32.63,0.980792292,0,1.481275262,0,0,0,1.515068493,1,0,0,0,1,base
492,32.63,0.980792292,0,1.481275262,0,0,0,1.515068493,1,0,0,0,1,base
696,32.63,0.980792292,0,1.481275262,0,0,0,1.515068493,1,0,0,0,1,base
766,13914.21097,0.978798699,0,1.481275262,0,0,0,1.515068493,1,1,0,0,1,base
558,32.63,0.993145286,0,1.499597333,0,0,0,1.534246575,1,0,0,0,1,base
942,32.63,0.993145286,0,1.499597333,0,0,0,1.534246575,1,0,0,0,1,base
1109,32.63,0.993145286,0,1.499597333,0,0,0,1.534246575,1,0,0,0,1,base
1198,32.63,0.993145286,0,1.499597333,0,0,0,1.534246575,1,0,0,0,1,base
