Profile,t_lifeyear,t_numberofdeath
Base,6.079452055,1
Base,1.054794521,1
Base,19.42739726,1
Base,0.134246575,1
Base,3.452054795,1
Base,7.095890411,1
Base,1.419178082,1
Base,4.180821918,1
Base,3.854794521,1
Base,5.657534247,1
Base,7.038356164,1
Base,17.60547945,1
Base,3.509589041,1
Base,6.405479452,1
Base,2.780821918,1
Base,7.479452055,1
Base,13.21369863,1
Base,0.575342466,1
Base,2.646575342,1
Base,7.536986301,1
Base,5.216438356,1
Base,13.63561644,1
Base,20.59726027,1
Base,5.561643836,1
Base,15.84109589,1
Base,11.89041096,1
Base,5.120547945,1
Base,4.410958904,1
Base,1.4,1
Base,9.128767123,1
Base,4.832876712,1
Base,4.756164384,1
